,src,coronavirus,length
0,"BACKGROUND: Dengue is the most important human viral disease transmitted by mosquitoes. It can be asymptomatic or it can present in any of its 3clinical forms: Dengue fever, dengue haemorrhagic fever and dengue shock syndrome. However, some atypical manifestations have been reported in surgical emergencies caused by acute appendicitis in patients with dengue fever. CLINICAL CASE: We report the case of an 18-year-old Mexican male who presented to the emergency department of the General Hospital of Culiacan, Sinaloa, with symptoms of dengue fever, accompanied by crampy abdominal pain with positive Rovsing and Dunphy signs. Dengue infection was confirmed by a positive NS1 antigen test performed by enzyme-linked immunosorbent assay. An abdominal ultrasound revealed an appendicular process; as the abdominal pain in the right side kept increasing, an open appendectomy was performed. Abundant inflammatory liquid was observed during the surgery, and the pathology laboratory reported an oedematous appendix with fibrinopurulent plaques, which agreed with acute ulcerative appendicitis. The patient was discharged fully recovered without complications during the follow-up period. CONCLUSIONS: Acute abdominal pain can be caused in some cases by dengue infection. This can be confusing, which can lead to unnecessary surgical interventions, creating additional morbidities and costs for the patient. This unusual and coincident acute appendicitis with dengue highlights the importance of performing careful clinical studies for appropriate decision making, especially in dengue endemic regions during an outbreak of this disease.",0,1634
1,"A 21 year-old man, HIV infected, and with poor adherence to antiretroviral treatment, consulted us due to a papular rash on trunk and extremities, showing simultaneously hypochromic stains on his back. He was afebrile and hemodynamically stable. In the mycological study of the clinical samples taken from different lesions, yeasts compatible with Malassezia were observed. Oral itraconazole was prescribed, with an excellent clinical response. Finding the same etiolologic agent in 2different clinical pictures on a single patient is extremely rare.",0,550
2,"BACKGROUND: Keratomycosis is one of the most prevalent ophthalmic infections, which needs a specific treatment depending on the nature of the infecting fungus. The prognosis is usually severe and depends on an early diagnosis and suitable therapy. CASE REPORT: We describe a case of keratitis due to Fusarium solani in a patient from a rural area, who, between May and October 2011, suffered a corneal trauma caused by dust particles in Valdivia, Chile. On two occasions, direct examination of eye scrapes revealed abundant septate hyphae. All cultures were positive for the same fungus, which was identified as Fusarium solani by phenotypic characterization and sequencing of ribosomal nuclear genes. The patient was initially treated with amphotericin B and afterwards successfully responded to a treatment with oral and intravenous voriconazole, although corneal opacity persisted. CONCLUSIONS: Although keratomycosis in Chile is rare, its diagnostic particularities must be taken into consideration to establish the most effective treatment. Thus, a rapid visualization of the fungus in the lesion, an efficient isolation of the etiologic agent in pure culture is essential, as well as its rapid identification, which requires the use of molecular sequencing techniques in the case of Fusarium species.",0,1306
3,"Congenital toxoplasmosis continues to be a public health threat. Even existing guidelines, publicly known, its implementation and lack of appropriate interpretation of serological tests in pregnancy is often observed. This leds to failure in opportunities for positive and known interventions to decrease the fetal risk due to Toxoplasma gondii infection. We reported herein a case series, with variable neurological and systemic compromise (respiratory distress, hepatosplenomegaly, enterocolitis, brain calcifications, thrombocytopenia, ascites, shock), even fatal, calling for awareness about the fact that despite the Zika epidemics in 2015-2016 in Brazil, Colombia and other countries, precisely toxoplasmosis, is a differential diagnosis still prevalent in these territories, that can leds to severe consequences, with neurological disability and risk of ocular damage, even lately. Additionally, with varieties of T. gondii with more aggressive patterns in Latin America, which make worse those cases, including also a higher risk of death.",0,1047
4,"The incidence of prosthetic shoulder replacements has increased considerably in recent years, as well as the complications derived from the procedure. The correct diagnosis of each type of complication is essential for therapeutic decision making, which is currently based on the information provided by radiological and nuclear medicine imaging. Nevertheless, both techniques have intrinsic limitations that could be mostly overcome with the advent of the hybrid SPECT/CT imaging, which is set to play a fundamental role in the evaluation of shoulder prostheses.",0,563
5,"Pulmonary hypertension associated with human immunodeficiency virus infection is an extremely rare disease in pediatrics; it requires a high clinical suspicion to reach a diagnosis. Its appearance poses an unfavorable prognostic, but early diagnosis and specific treatment can improve outcomes. We report the clinical case of a fifteen-year-old patient diagnosed with human immunodeficiency virus infection of vertical transmission, without antiretroviral treatment, with cough and progressive exertional dyspnea, associated with signs of right heart failure in which severe pulmonary hypertension was diagnosed. After discarding other causes, it was assumed pulmonary hypertension associated with human immunodeficiency virus infection. Treatment was performed with sildenafil with good response.",0,797
6,"CLINICAL CASE: An 82-year-old man was admitted to the emergency department complaining of a sudden painless visual loss in his left eye (OS). He was diagnosed with branch retinal artery occlusion (BRAO) with a visible embolus. In 2012, he had a central artery occlusion (CRAO) in his right eye (OD). An embolysis with Nd:YAG laser was attempted, the retinal arterial blood flow was restored completely and the visual field was improved, with no secondary complications. CONCLUSIONS: Nd:YAG laser embolysis is a treatment to be considered in patients with BRAO with a visible embolus. The risks and benefits of the procedure should be evaluated, comparing it with possible permanent loss of visual acuity and other vascular complications caused by BRAO.",0,752
7,"Radiologic findings of Middle East respiratory syndrome (MERS), a novel coronavirus infection, have been rarely reported. We report a 30-year-old male presented with fever, abdominal pain, and diarrhea, who was diagnosed with MERS. A chest computed tomographic scan revealed rapidly developed multifocal nodular consolidations with ground-glass opacity halo and mixed consolidation, mainly in the dependent and peripheral areas. After treatment, follow-up imaging showed that these abnormalities markedly decreased but fibrotic changes developed.",1,546
8,"Bacterial superinfection is a known complication among patients affected by viral respiratory tract infections. Streptococcus pyogenes, a major bacterial agent involved in acute tonsillopharyngitis, skin and soft tissue infections, was reported as a co-infecting microorganism during the 2009 A H1N1 influenza pandemic. We report a 65-year-old male patient who evolved with multifocal pneumonia and multiple organ failure with a fatal outcome. Influenza A H1N1 was detected by a polymerase chain reaction-based technique from a tracheal aspirate sample. S. pyogenes was identified by a rapid test from a nasopharyngeal sample and isolated afterwards from a positive blood culture.",0,680
9,"BACKGROUND: The appendix inflammatory process is the most common cause of chronic abdominal pain in the right lower quadrant. The frequency of appendiceal lumen obstruction by fecalith ranges from 10 to 20%; few cases of obstruction by multiple fecaliths had been reported. CLINICAL CASE: Sixty-nine years old male, diabetic and hypertensive in control, he underwent bowel resection 30 years previously. He completed 6 months with intermittent, mild pain in the right lower quadrant abdomen; 14 days prior to admission with increasing pain, nausea, vomiting, constipation, abdominal distension and absence of peristalsis; 12,750 leukocytes, neutrophils 90%; plain abdominal radiography without specific bowel pattern, TAC with 3 dense images in right lower quadrant; exploratory laparotomy was performed and perforated appendix with 3 free fecaliths was found. Histopathological report showed fibrosis and lymphocytic infiltrate in the muscle layer of the cecal appendix consistent with chronic appendicitis. CONCLUSIONS: The most common obstruction of the appendix lumen is by a single fecalith. In this case the patient had chronic appendicitis secondary to appendiceal lumen obstruction by multiple fecaliths. Reviewing the international literature any case of chronic appendicitis associated with the presence of multiple fecaliths was found.",0,1346
10,"CASE REPORT: The case is presented of a 46-year-old male with right eye proptosis and conjunctival hyperaemia, of 18 months onset. A well-defined intraconal mass was found in the computed tomography. In magnetic resonance this was hypo-intense on T1, enhanced with gadolinium and hyperintense on T2. Excisional biopsy was performed, which was reported as a well-differentiated liposarcoma in the histopathology study. DISCUSSION: Liposarcoma is a malignant adipose tissue tumour. It is very rare in the orbit, with 5 histological types, the most common being myxoid. The treatment of choice is wide surgical excision and may be accompanied with radiotherapy. As it is an infiltrative tumour, It has a high rate of recurrence.",0,725
11,"Vasculitic midline destructive lesions can be a complication of cocaine use. We report a 44-year-old man who presented with a two months history of left facial pain associated with ipsilateral facial paralysis and a cheek phlegmon. Magnetic resonance imaging showed broad soft tissue destruction linked to important cranial nerve involvement. Antibiotic and antifungal therapy was started and multiple surgical debridement procedures were performed, with no clinical improvement. Microbiological analysis was negative. Finally, thanks to the histologic findings corresponding to vasculitis and granuloma formation and the history of cocaine abuse, a cocaine induced midline destructive lesion was diagnosed.",0,707
12,"INTRODUCTION: The diagnosis of Cerebellar Cognitive Affective Syndrome should be considered in patients with cerebellar lesions who also suffer cognitive deficits associated with visuospatial or executive neuropsychological disorders, expressive language disorders and affective disorders. CLINICAL CASE: A 16 year old adolescent diagnosed with Attention Deficit Hyperactivity Disorder at the age of 7 presents with emotional instability, apathy, and speech and reading difficulties. Neuropsychological tests show visuospatial difficulties. A brain magnetic resonance imaging is performed due to impaired coordination and fine motor movements and shows atrophy of the cerebellar vermis. The clinical picture suggests a diagnosis of Cerebellar Cognitive Affective Syndrome. The cerebellum is mostly known for its motor role. However, it is also involved in higher cognitive functions, expression of emotion and behavioral regulation. Cerebellar Cognitive Affective Syndrome is a relatively unknown diagnosis and should be included in the differential diagnosis of neuropsychiatric disorders with cerebellar lesion.",0,1113
13,"Hyperthyroidism is defined as an excessive production of thyroid hormones by eutopic or ectopic mature thyroid tissue. The overall prevalence of hyperthyroidism is 1.2% and the most common cause is Graves' disease. Struma ovarii represents 1% of all ovarian tumors and is an uncommon cause of ectopic hyperthyroidism. It is benign in >90% of the cases; usually asymptomatic, and only 8% are presented with thyrotoxicosis, being rare its association with Graves' disease. We report the case of a patient with this association.",0,525
14,"In a patient with a differentiated thyroid cancer the standard treatment protocol to be followed is surgery, ablation of thyroid remnants with (131)Iodine ((131)I), and TSH suppression. However, the treatment with (131)I is not effective in some cases, and it no longer becomes a therapeutic option due to cell de-differentiation with loss of (131)I uptake. Systemic treatment can be used as other options, although patients are not always responsive; thus, the disease may progress and therapeutic options may run out. Endocrine tumours may express somatostatin receptors,and this characteristic has been used, not only for diagnosis, but also for their treatment through somatostatin analogue labelling with radioactive isotopes. This was the case of a patient suffering from iodine-refractory follicular thyroid carcinoma, with somatostatin receptors expression, treated with (177)Lu-DOTATATE, showing an excellent clinical and analytical response.",0,951
15,"Acute transverse myelitis is defined as an acquired neuroimmune disorder of the spinal cord, which occurs as a consequence of a primary event, or directly related to an autoimmune inflammatory disease, an infectious or post-infectious disease. Amongst infectious etiologies, Borrelia spp., a tick-bourne anthropozoonosis of the ixodidae family, prevails. Approximately 10 to 15% of patients with Lyme disease undergo neurologic manifestations, with an assorted and uncertain array of clinical syndromes. Transverse myelitis accounts for up to 5% of Lyme neuroborreliosis. We describe the case of a traveler from endemic zone for Lyme disease, with encephalomyelitis secondary to acute infection by Borrelia burgderfori, with complete resolution of symptoms after concluding adequate antibiotic treatment.",0,804
16,"A case is presented of a protein-losing enteropathy (PLE) as the initial manifestation of systemic lupus erythematosus (SLE) in a 17 year-old female patient, who presented with ascites, edema and hypoalbuminemia. The diagnosis of SLE was based on the presence of: malar rash, oral ulcers, thrombocytopenia, antinuclear antibodies, IgM anticardiolipin antibody, and lupus anticoagulant. Renal and liver diseases were ruled out. The PLE diagnosis was confirmed with fecal alpha 1-antitrypsin clearance. The PLE was refractory to different lines of immunosuppressive agents like glucocorticoids, cyclophosphamide, azathioprine, and cyclosporine, showing a satisfactory and sustained response with rituximab, allowing steroid sparing and long term remission.",0,754
17,"BACKGROUND: Nutcracker syndrome is a rare entity, and in the majority of cases is the result of extrinsic compression of the left renal vein between the superior mesenteric artery and the aorta, associated with functional stenosis. OBJECTIVE: To present the case of a 19-year-old female with no significant medical history with confirmed diagnosed of nutcracker syndrome treated successfully by endovascular means. CLINICAL CASE: She was referred to the Vascular Surgery Department with a 6-month history of macroscopic haematuria, after other aetiologies were ruled out. Abdominal computed tomography angiography revealed compression of the left renal vein; the patient underwent endovascular treatment, and a 12x16 mm balloon expandable stent was placed with immediate angiographic improvement, decreased pressure gradients and progressive resolution of haematuria. At one year, she remains symptom-free. CONCLUSION: Nutcracker syndrome is uncommon, and a high index of suspicion is needed. Macroscopic haematuria is not always present, and in our case stent placement demonstrated effectiveness in the resolution of symptoms at 12 months' follow--up. We also present a brief review of the literature.",0,1203
18,"BACKGROUND: Omental torsion is an infrequent cause of acute abdomen and its symptoms are non-specific, often presenting with pain at the right iliac fossa as the only symptom. Its aetiology remains unknown, but different risk factors have been associated with the disease, including obesity, congenital malformations, and tumours. These risk factors have been classified as predisposing or triggering, primary or secondary, and external or internal. CLINICAL CASE: The is a case of a 24-year-old male who complained about pain in the right iliac fossa without any other symptoms. The diagnosis was acute appendicitis, but during the laparoscopic approach, omental torsion was found. CONCLUSION: The diagnosis of omental torsion is is complex. However, computed tomography and ultrasound have been used successfully. The treatment for omental torsion is the resection of necrotised tissue by a laparoscopic approach.",0,915
19,"BACKGROUND: Caecal volvulus is an uncommon cause of intestinal obstruction. Its clinical presentation is non-specific, with the diagnosis usually confirmed by barium enema and abdominal computed tomography. Treatment depends on many factors, and minimally invasive approaches are becoming the treatment of choice. CLINIC CASE: A 54 years old female, admitted to the Emergency Department with clinical symptoms of intestinal obstruction. On physical examination she had a palpable, firm, and tympanitic mass in the right abdomen, with peritoneal irritation. The radiographs of the abdomen, barium enema and abdominal computed tomography showed caecal volvulus. As she showed a full remission after the barium enema, with no clinical or biochemical data of systemic inflammatory response syndrome or peritoneal irritation, she was discharged to her home. Two weeks later, a laparoscopic right hemicolectomy was performed with an ileo-transverse extracorporeal anastomosis. Her progress was satisfactory, and she was discharged 4 days after surgery due to improvement. CONCLUSION: Caecal volvulus is a rare cause of intestinal obstruction, with high mortality rates, and is caused by excessive mobility of the caecum. Its incidence is increasing. Treatment depends on many factors. Early non-surgical untwisting, followed by an elective laparoscopic surgical procedure offers several advantages and reduces mortality.",0,1414
20,"The co-existence of a double chromosomal abnormality in one individual is a rare event, even more the simultaneous presence of Klinefelter (XXY) and Edwards (trisomy 18) syndrome. The aim of this article is to report the case of a newborn with a double aneuploidy, which consists in the coexistence of Edwards and Klinefelter syndrome. The patient's phenotype correlates mainly with Edwards syndrome. The diagnosis is made by performing the cytogenetics (karyotype) of peripheral blood lymphocytes. Only 15 cases of patients with Klinefelter and Edwards syndromes had been reported in literature so far.",0,603
21,"Neonatal abstinence syndrome (NAS) due to prenatally exposure to citalopram can develop during the first days of life even with low dose of drug exposure. Supportive management is the first choice but phenobarbital can be used in treatment of this syndrome. Breastfeeding should not be interrupted. These neonates should be followed both for NAS and neurodevelopmental outcome. In this article, we reported a newborn with NAS due to citalopram exposure with a lower dose than previously reported in the literature, during the last six months of pregnancy. Phenobarbital was used because of non-pharmacological treatment failure.",0,628
22,"INTRODUCTION: Cluster headache is a rare cause of primary headache in children. We report four cases with a mean age of onset of 8.6, ranged from 2 to 13 years. CASE REPORTS: Three males and one female with onset at 2, 7, 13, and 12 years-old, respectively, were included. The symptoms of all patients fulfill the criteria for the diagnosis of cluster headache according to the International Society of Headache. CONCLUSIONS: Despite being rare during childhood, cluster headache should be part of the differential diagnosis of headache in childhood. This report highlights the variable features of this disorder in children, often misdiagnosed. It can be useful in making a quick diagnosis and starting the appropriate treatment early. Verapamil was more effective than flunarizine in terminating the headache in our patients. Oxygen treatment and triptans resulted the treatments with the best response in acute cluster headache.",0,931
23,"CLINICAL CASE: A 58-year-old woman with intraocular relapse of a diffuse large B cell lymphoma. Weekly intravitreal rituximab (1 mg/0.1 ml) for 4 weeks were administered. 12 months after the last intravitreal rituximab dose, signs and symptoms of lymphomas or adverse reactions associated with intravitreal Rituximab administration were not observed. DISCUSSION: Intravitreal rituximab is an effective and safe treatment of intravitreal lymphoma, by inducing complete remission; it could be a good alternative to other therapeutic options with greater number of serious complications.",0,584
24,"Pulmonary involvement in the form of acute pneumonitis in adult-onset Still's disease (AOSD) is an uncommon manifestation, with few cases reported in the literature. We report the case of a 61-year-old male with 3 years of AOSD evolution, treated with methotrexate (MTX) and half-dose corticosteroids, which debuted with symptoms of fever, dyspnea and dry cough after 3 weeks of receiving the first dose of tocilizumab (TCZ). In the follow-up study showed leukocytosis with left shift, elevated serum ferritin and C-reactive protein standard. The chest CT scan showed ground-glass pattern predominantly in central and upper lobes and the BAL shows an increase in the percentage of lymphocyte with normal subpopulations and negative cultures. MTX and TCM were suspended, prednisone was increased to 30mg/day and within a week Anakinra 100mg/day SC was iniciated, noting in a few days a progressive clinical, analytical and radiological improvement.",0,947
25,"Anomalies of the origin of coronary arteries are detected in 0.5-1.5% of all angiographies. Anomalous origin of the left main trunk is the most uncommon and its origin from pulmonary artery in adults is exceptional, usually because it is associated with a short survival. We report a 49-year-old female, presenting with a two months history of angina. The exercise electrocardiogram suggested ischemia. A coronary angiography was performed, showing the absence of the left main trunk in the left coronary sinus, a dilated right coronary artery, with no lesions and extensive collateral circulation to the anterior descending and circumflex arteries, with inverted flow and the left main trunk draining to the pulmonary artery. The left ventricle was mildly dilated with middle and apical anterior hypokinesia. Global systolic function was conserved. A surgical correction was decided, occluding the left main anomalous origin and performing a coronary artery bypass grafting from the left internal thoracic artery. The patient was discharged with no complications. At two years of follow-up she is symptom free and has a normal physical capacity.",0,1146
26,"BACKGROUND: Invasive fungal diseases have increased in recent years. Candida species are the most common aetiology. Candida albicans, Candida parapsilosis, Candida tropicalis, Candida glabrata and Candida krusei are the cause of most of them. The aim of this work is to describe the first isolation of Candida fabianii in the blood of a non-neonatal paediatric patient. CASE REPORT: A 2 year-old male with short bowel syndrome, severe malnutrition, and hypophosphataemic rickets deficiency was admitted to paediatric intensive care due to a respiratory tract infection and suspicion of an intestinal pseudo-obstruction. He received several cycles of broad-spectrum antibiotics for several infections due to Pseudomonas aeruginosa and Escherichia coli. After the surgical correction of the intestinal disorder he suffered a new episode of sepsis where yeasts were isolated by culture. The species identification was performed by means of mass spectrometry (MALDI-TOF system, Bruker Daltonic). The identity of the isolate was C.fabianii (anamorph)/Pichia fabianii (teleomorph) with a score of 2.149. Antifungal treatment with caspofungin was prescribed, with good progress of the patient. CONCLUSIONS: Molecular techniques are important for the identification of these species, although mass spectrometry offered a reliable and rapid diagnosis. Treatment with caspofungin was effective.",0,1384
27,"We present a case of multiple lymphangiohemangiomas (hematolymphangiomas, hemangiolymphangiomas, or combined lymphatic venous malformation) with thoracic and abdominal involvement in an asymptomatic patient. We describe and illustrate the imaging findings in this disease, which are quite characteristic and can enable an accurate diagnosis. To our knowledge, there are no other reports of similar cases in the scientific literature.",0,433
